"STATION","DATE","TMAX","TMIN"
"USW00024127","2022-03-12","55","34"
"USW00024127","2022-03-13","51","38"
"USW00024127","2022-03-14","54","33"
"USW00024127","2022-03-15","63","36"
"USW00024127","2022-03-16","53","36"
"USW00024127","2022-03-17","52","32"
"USW00024127","2022-03-18","57","35"
"USW00024127","2022-03-19","64","42"
"USW00024127","2022-03-20","56","34"
"USW00024127","2022-03-21","47","29"
"USW00024127","2022-03-22","54","31"
"USW00024127","2022-03-23","60","34"
"USW00024127","2022-03-24","69","40"
"USW00024127","2022-03-25","78","46"
"USW00024127","2022-03-26","79","55"
"USW00024127","2022-03-27","79","56"
"USW00024127","2022-03-28","69","55"
"USW00024127","2022-03-29","61","47"
"USW00024127","2022-03-30","61","44"
"USW00024127","2022-03-31","53","40"
"USW00024127","2022-04-01","58","35"
"USW00024127","2022-04-02","67","42"
"USW00024127","2022-04-03","63","38"
"USW00024127","2022-04-04","63","41"
"USW00024127","2022-04-05","56","36"
"USW00024127","2022-04-06","49","30"
"USW00024127","2022-04-07","62","34"
"USW00024127","2022-04-08","76","40"
"USW00024127","2022-04-09","68","37"
